time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
2.000000000000000042e-03,9.762663574920420661e-05,-2.335926153952911722e-04,9.762370107035156508e-02,-2.335835276669740723e-01,3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-03,3.010587047609962420e-04,-7.203225850410876433e-04,1.058022535524068830e-01,-2.531275082029404433e-01,2.524108345048987623e-01,0.000000000000000000e+00
6.000000000000000125e-03,5.210065642015070933e-04,-1.246493688674488089e-03,1.141389940300422123e-01,-2.730231216911691572e-01,2.584447650612537450e-01,0.000000000000000000e+00
8.000000000000000167e-03,7.577893927494857435e-04,-1.812813787623532942e-03,1.226367156076576398e-01,-2.932749343450568036e-01,2.646571306230597331e-01,0.000000000000000000e+00
1.000000000000000021e-02,1.011731989426802080e-03,-2.419999919317759873e-03,1.312982453314308351e-01,-3.138875554873079565e-01,2.710507624184376740e-01,0.000000000000000000e+00
1.200000000000000025e-02,1.283164841734781535e-03,-3.068778383444457046e-03,1.401264444359701655e-01,-3.348656374682674186e-01,2.776285363109085025e-01,0.000000000000000000e+00
1.400000000000000029e-02,1.572424194278430800e-03,-3.759884827895486337e-03,1.491242085852783616e-01,-3.562138755372269427e-01,2.843933739364847835e-01,0.000000000000000000e+00
1.600000000000000033e-02,1.879852117866507352e-03,-4.494064334406847570e-03,1.582944681073488735e-01,-3.779370076628917885e-01,2.913482438877777470e-01,0.000000000000000000e+00
1.800000000000000211e-02,2.205796579073984395e-03,-5.272071503785299637e-03,1.676401882216705108e-01,-4.000398142989579076e-01,2.984961629469619626e-01,0.000000000000000000e+00
2.000000000000000389e-02,2.550611510251965183e-03,-6.094670540607997553e-03,1.771643692588653063e-01,-4.225271180905001422e-01,3.058401973694355735e-01,0.000000000000000000e+00
2.200000000000000566e-02,2.914656879968498520e-03,-6.962635337272256135e-03,1.868700468716332497e-01,-4.454037835166138604e-01,3.133834642200957199e-01,0.000000000000000000e+00
2.400000000000000744e-02,3.298298763862034678e-03,-7.876749557263156357e-03,1.967602922361210427e-01,-4.686747164644765595e-01,3.211291327641390136e-01,0.000000000000000000e+00
2.600000000000000921e-02,3.701909415887446198e-03,-8.837806717496756587e-03,2.068382122427744885e-01,-4.923448637297099251e-01,3.290804259143502164e-01,0.000000000000000000e+00
2.800000000000001099e-02,4.125867339932584761e-03,-9.846610269586143771e-03,2.171069496756715955e-01,-5.164192124376210113e-01,3.372406217368454362e-01,0.000000000000000000e+00
3.000000000000001277e-02,4.570557361781284016e-03,-1.090397367986637930e-02,2.275696833792696383e-01,-5.409027893795864683e-01,3.456130550172772375e-01,0.000000000000000000e+00
3.200000000000001454e-02,5.036370701396509532e-03,-1.201072050800260950e-02,2.382296284114297225e-01,-5.658006602585108347e-01,3.542011188894738649e-01,0.000000000000000000e+00
3.400000000000001632e-02,5.523705045495016890e-03,-1.316768448399312924e-02,2.490900361815116260e-01,-5.911179288369462492e-01,3.630082665285401244e-01,0.000000000000000000e+00
3.600000000000001810e-02,6.032964620382385255e-03,-1.437570958336598093e-02,2.601541945722553040e-01,-6.168597359810961134e-01,3.720380129103955102e-01,0.000000000000000000e+00
3.800000000000001987e-02,6.564560265014649648e-03,-1.563565010035376443e-02,2.714254280440855926e-01,-6.430312585935487046e-01,3.812939366397224972e-01,0.000000000000000000e+00
4.000000000000002165e-02,7.118909504249940068e-03,-1.694837071881658691e-02,2.829070977203938519e-01,-6.696377084271882829e-01,3.907796818482714984e-01,0.000000000000000000e+00
4.200000000000002343e-02,7.696436622250561049e-03,-1.831474658066762837e-02,2.946026014522613035e-01,-6.966843307723207257e-01,4.004989601654216358e-01,0.000000000000000000e+00
4.400000000000002520e-02,8.297572735992773257e-03,-1.973566335153936757e-02,3.065153738609970868e-01,-7.241764030086170756e-01,4.104555527628186429e-01,0.000000000000000000e+00
4.600000000000002698e-02,8.922755868838200266e-03,-2.121201728341132534e-02,3.186488863567673580e-01,-7.521192330130305193e-01,4.206533124748764729e-01,0.000000000000000000e+00
4.800000000000002875e-02,9.572431024117216206e-03,-2.274471527390199699e-02,3.310066471314904168e-01,-7.805181574143734702e-01,4.310961659967861292e-01,0.000000000000000000e+00
5.000000000000003053e-02,1.024705025867093250e-02,-2.433467492190853967e-02,3.435922011240652996e-01,-8.093785396847540392e-01,4.417881161615853647e-01,0.000000000000000000e+00
5.200000000000003231e-02,1.094707275629441118e-02,-2.598282457925765038e-02,3.564091299558918569e-01,-8.387057680575644714e-01,4.527332442976997884e-01,0.000000000000000000e+00
5.400000000000003408e-02,1.167296490101952904e-02,-2.769010339800996243e-02,3.694610518345221029e-01,-8.685052532611884368e-01,4.639357126681884491e-01,0.000000000000000000e+00
5.600000000000003586e-02,1.242520035017148812e-02,-2.945746137303805606e-02,3.827516214231620473e-01,-8.987824260570472790e-01,4.753997669927282343e-01,0.000000000000000000e+00
5.800000000000003764e-02,1.320426010712826351e-02,-3.128585937947481188e-02,3.962845296736151046e-01,-9.295427345700381094e-01,4.871297390531547089e-01,0.000000000000000000e+00
6.000000000000003941e-02,1.401063259370733012e-02,-3.317626920460442497e-02,4.100635036201255579e-01,-9.607916413988331072e-01,4.991300493830829188e-01,0.000000000000000000e+00
6.200000000000004119e-02,1.484481372209878886e-02,-3.512967357374267158e-02,4.240923061314421094e-01,-9.925346204928988669e-01,5.114052100418469138e-01,0.000000000000000000e+00
6.400000000000004297e-02,1.570730696625850450e-02,-3.714706616962609731e-02,4.383747356182770005e-01,-1.024777153782472583e+00,5.239598274726335880e-01,0.000000000000000000e+00
6.600000000000004474e-02,1.659862343266906709e-02,-3.922945164480166197e-02,4.529146256931848025e-01,-1.057524727547081600e+00,5.367986054442692723e-01,0.000000000000000000e+00
6.800000000000004652e-02,1.751928193037027848e-02,-4.137784562647885134e-02,4.677158447797296059e-01,-1.090782828507530056e+00,5.499263480756719780e-01,0.000000000000000000e+00
7.000000000000004829e-02,1.846980904015441821e-02,-4.359327471327541226e-02,4.827822956676451893e-01,-1.124556939625589003e+00,5.633479629414749335e-01,0.000000000000000000e+00
7.200000000000005007e-02,1.945073918281481351e-02,-4.587677646325560854e-02,4.981179150105242703e-01,-1.158852535594926403e+00,5.770684642567026623e-01,0.000000000000000000e+00
7.400000000000005185e-02,2.046261468632911210e-02,-4.822939937262633175e-02,5.137266727623966966e-01,-1.193675078006088963e+00,5.910929761377632374e-01,0.000000000000000000e+00
7.600000000000005362e-02,2.150598585185116776e-02,-5.065220284442112364e-02,5.296125715493746888e-01,-1.229030010167613263e+00,6.054267359362640599e-01,0.000000000000000000e+00
7.800000000000005540e-02,2.258141101837765966e-02,-5.314625714646570992e-02,5.457796459723548432e-01,-1.264922751564589998e+00,6.200750976413365034e-01,0.000000000000000000e+00
8.000000000000005718e-02,2.368945662594728468e-02,-5.571264335788037730e-02,5.622319618365699823e-01,-1.301358691935236012e+00,6.350435353452366094e-01,0.000000000000000000e+00
8.200000000000005895e-02,2.483069727722182415e-02,-5.835245330333493213e-02,5.789736153035849320e-01,-1.338343184945253839e+00,6.503376467659752747e-01,0.000000000000000000e+00
8.400000000000006073e-02,2.600571579728925414e-02,-6.106678947423070658e-02,5.960087319611193646e-01,-1.375881541438964906e+00,6.659631568195966134e-01,0.000000000000000000e+00
8.600000000000006251e-02,2.721510329151969818e-02,-6.385676493594116820e-02,6.133414658058686797e-01,-1.413979022245404726e+00,6.819259212334595199e-01,0.000000000000000000e+00
8.800000000000006428e-02,2.845945920129510850e-02,-6.672350322019837687e-02,6.309759981342719648e-01,-1.452640830516767956e+00,6.982319301905187681e-01,0.000000000000000000e+00
9.000000000000006606e-02,2.973939135742319217e-02,-6.966813820166629923e-02,6.489165363359491456e-01,-1.491872103575780484e+00,7.148873119930458930e-01,0.000000000000000000e+00
9.200000000000006783e-02,3.105551603103536701e-02,-7.269181395769447329e-02,6.671673125842983998e-01,-1.531677904247772171e+00,7.318983367325819778e-01,0.000000000000000000e+00
9.400000000000006961e-02,3.240845798175717718e-02,-7.579568461019614567e-02,6.857325824185044327e-01,-1.572063211652423576e+00,7.492714199510508433e-01,0.000000000000000000e+00
9.600000000000007139e-02,3.379885050292795456e-02,-7.898091414854409298e-02,7.046166232109659644e-01,-1.613032911429361560e+00,7.670131262759501967e-01,0.000000000000000000e+00
9.800000000000007316e-02,3.522733546363413654e-02,-8.224867623232504088e-02,7.238237325139025291e-01,-1.654591785371006374e+00,7.851301730103313892e-01,0.000000000000000000e+00
1.000000000000000749e-01,3.669456334730804986e-02,-8.560015397273931792e-02,7.433582262786457839e-01,-1.696744500435303671e+00,8.036294336558628126e-01,0.000000000000000000e+00
1.020000000000000767e-01,3.820119328663056785e-02,-8.903653969137723112e-02,7.632244369408657247e-01,-1.739495597110243708e+00,8.225179413446466192e-01,0.000000000000000000e+00
1.040000000000000785e-01,3.974789309446238178e-02,-9.255903465504629335e-02,7.834267113647204184e-01,-1.782849477101359881e+00,8.418028921525942954e-01,0.000000000000000000e+00
1.060000000000000803e-01,4.133533929051427802e-02,-9.616884878526549274e-02,8.039694086386545147e-01,-1.826810390312730625e+00,8.614916482640718742e-01,0.000000000000000000e+00
1.080000000000000820e-01,4.296421712345194904e-02,-9.986720034098291177e-02,8.248568977153064585e-01,-1.871382421091384751e+00,8.815917409541393912e-01,0.000000000000000000e+00
1.100000000000000838e-01,4.463522058811561499e-02,-1.036553155730122189e-01,8.460935548877202006e-01,-1.916569473704444748e+00,9.021108733511175037e-01,0.000000000000000000e+00
1.120000000000000856e-01,4.634905243751866188e-02,-1.075344283486218411e-01,8.676837610937860878e-01,-1.962375257017829444e+00,9.230569229382060703e-01,0.000000000000000000e+00
1.140000000000000874e-01,4.810642418927325165e-02,-1.115057797446474541e-01,8.896318990405753802e-01,-2.008803268344912407e+00,9.444379437487410156e-01,0.000000000000000000e+00
1.160000000000000892e-01,4.990805612607374792e-02,-1.155706176074351582e-01,9.119423501399650522e-01,-2.055856776433179434e+00,9.662621682050489547e-01,0.000000000000000000e+00
1.180000000000000909e-01,5.175467728985143345e-02,-1.197301960778582031e-01,9.346194912466914140e-01,-2.103538803556680215e+00,9.885380085460251376e-01,0.000000000000000000e+00
1.200000000000000927e-01,5.364702546919592613e-02,-1.239857750795856639e-01,9.576676911897169520e-01,-2.151852106681926724e+00,1.011274057783318359e+00,0.000000000000000000e+00
1.220000000000000945e-01,5.558584717962016669e-02,-1.283386197687165775e-01,9.810913070875434405e-01,-2.200799157674873108e+00,1.034479090120432154e+00,0.000000000000000000e+00
1.240000000000000963e-01,5.757189763622693607e-02,-1.327899999428285294e-01,1.004894680437867560e+00,-2.250382122516731975e+00,1.058162060763119250e+00,0.000000000000000000e+00
1.260000000000000842e-01,5.960594071831536861e-02,-1.373411894074251238e-01,1.029082132971742558e+00,-2.300602839496658891e+00,1.082332105043127823e+00,0.000000000000000000e+00
1.280000000000000859e-01,6.168874892544595062e-02,-1.419934652977034584e-01,1.053657962262195769e+00,-2.351462796349784945e+00,1.106998536770688490e+00,0.000000000000000000e+00
1.300000000000000877e-01,6.382110332446225276e-02,-1.467481073535001068e-01,1.078626437077044198e+00,-2.402963106309714991e+00,1.132170845724058461e+00,0.000000000000000000e+00
1.320000000000000895e-01,6.600379348694682125e-02,-1.516063971452132342e-01,1.103991792465470523e+00,-2.455104483045460029e+00,1.157858694177026360e+00,0.000000000000000000e+00
1.340000000000000913e-01,6.823761741656769741e-02,-1.565696172484391246e-01,1.129758224567755764e+00,-2.507887214453850877e+00,1.184071912357482104e+00,0.000000000000000000e+00
1.360000000000000930e-01,7.052338146575055922e-02,-1.616390503650050603e-01,1.155929885137419566e+00,-2.561311135279819240e+00,1.210820492721995656e+00,0.000000000000000000e+00
1.380000000000000948e-01,7.286190024108990526e-02,-1.668159783880268365e-01,1.182510875764908986e+00,-2.615375598538542512e+00,1.238114582922905216e+00,0.000000000000000000e+00
1.400000000000000966e-01,7.525399649689079595e-02,-1.721016814085684632e-01,1.209505241791889674e+00,-2.670079445715360045e+00,1.265964477335588256e+00,0.000000000000000000e+00
1.420000000000000984e-01,7.770050101621077399e-02,-1.774974366614363863e-01,1.236916965905139332e+00,-2.725420975721617456e+00,1.294380607004562922e+00,0.000000000000000000e+00
1.440000000000001001e-01,8.020225247874961105e-02,-1.830045174075988212e-01,1.264749961399034728e+00,-2.781397912587189936e+00,1.323373527857750975e+00,0.000000000000000000e+00
1.460000000000001019e-01,8.276009731491221211e-02,-1.886241917506853993e-01,1.293008065095647474e+00,-2.838007371873415341e+00,1.352953907028788594e+00,0.000000000000000000e+00
1.480000000000001037e-01,8.537488954534859509e-02,-1.943577213849931318e-01,1.321695029911545305e+00,-2.895245825793566929e+00,1.383132507117674992e+00,0.000000000000000000e+00
1.500000000000001055e-01,8.804749060525263182e-02,-2.002063602724027669e-01,1.350814517060516362e+00,-2.953109067031833401e+00,1.413920168210447637e+00,0.000000000000000000e+00
1.520000000000001072e-01,9.077876915268030811e-02,-2.061713532455957953e-01,1.380370087881628294e+00,-3.011592171256079808e+00,1.445327787468992931e+00,0.000000000000000000e+00
1.540000000000001090e-01,9.356960086012700017e-02,-2.122539345349577500e-01,1.410365195282275108e+00,-3.070689458324499466e+00,1.477366296092759601e+00,0.000000000000000000e+00
1.560000000000001108e-01,9.642086818858310038e-02,-2.184553262165588039e-01,1.440803174786188467e+00,-3.130394452191606725e+00,1.510046633444980246e+00,0.000000000000000000e+00
1.580000000000001126e-01,9.933346014326753515e-02,-2.247767365786199067e-01,1.471687235176785569e+00,-3.190699839524974823e+00,1.543379718127398714e+00,0.000000000000000000e+00
1.600000000000001144e-01,1.023082720102200527e-01,-2.312193584039018701e-01,1.503020448726699376e+00,-3.251597427050643585e+00,1.577376415779405239e+00,0.000000000000000000e+00
1.620000000000001161e-01,1.053462050729154081e-01,-2.377843671654975566e-01,1.534805741004913404e+00,-3.313078097652313314e+00,1.612047503370221069e+00,0.000000000000000000e+00
1.640000000000001179e-01,1.084481663080461428e-01,-2.444729191335663077e-01,1.567045880253585155e+00,-3.375131765257289196e+00,1.647403629746472919e+00,0.000000000000000000e+00
1.660000000000001197e-01,1.116150680596055406e-01,-2.512861493906234922e-01,1.599743466327423480e+00,-3.437747328550687875e+00,1.683455272192496910e+00,0.000000000000000000e+00
1.680000000000001215e-01,1.148478276903891898e-01,-2.582251697530908441e-01,1.632900919189374411e+00,-3.500912623568717130e+00,1.720212688757082331e+00,0.000000000000000000e+00
1.700000000000001232e-01,1.181473672100220029e-01,-2.652910665969256399e-01,1.666520466957387425e+00,-3.564614375231883514e+00,1.757685866098648075e+00,0.000000000000000000e+00
1.720000000000001250e-01,1.215146128786084301e-01,-2.724848985852781347e-01,1.700604133498190063e+00,-3.628838147889828392e+00,1.795884462601122999e+00,0.000000000000000000e+00
1.740000000000001268e-01,1.249504947850968717e-01,-2.798076942962837155e-01,1.735153725565297567e+00,-3.693568294961145249e+00,1.834817746515578163e+00,0.000000000000000000e+00
1.760000000000001286e-01,1.284559463994451312e-01,-2.872604497492741715e-01,1.770170819479937707e+00,-3.758787907764022496e+00,1.874494528888164258e+00,0.000000000000000000e+00
1.780000000000001303e-01,1.320319040976730696e-01,-2.948441258278989285e-01,1.805656747355199210e+00,-3.824478763646887103e+00,1.914923091043724268e+00,0.000000000000000000e+00
1.800000000000001321e-01,1.356793066588911911e-01,-3.025596455988794342e-01,1.841612582865512326e+00,-3.890621273542423264e+00,1.956111106406790867e+00,0.000000000000000000e+00
1.820000000000001339e-01,1.393990947333998420e-01,-3.104078915253821180e-01,1.878039126565566708e+00,-3.957194429083399800e+00,1.998065556458173520e+00,0.000000000000000000e+00
1.840000000000001357e-01,1.431922102809650432e-01,-3.183897025742888909e-01,1.914936890764966648e+00,-4.024175749434649063e+00,2.040792640646293954e+00,0.000000000000000000e+00
1.860000000000001374e-01,1.470595959783914108e-01,-3.265058712169698896e-01,1.952306083967340511e+00,-4.091541228012310683e+00,2.084297680098494698e+00,0.000000000000000000e+00
1.880000000000001392e-01,1.510021945955332678e-01,-3.347571403235233833e-01,1.990146594885256359e+00,-4.159265279279044769e+00,2.128585015009107018e+00,0.000000000000000000e+00
1.900000000000001410e-01,1.550209483389111131e-01,-3.431441999508447749e-01,2.028457976045176636e+00,-4.227320685822282265e+00,2.173657895618581914e+00,0.000000000000000000e+00
1.920000000000001428e-01,1.591167981621316729e-01,-3.516676840253193936e-01,2.067239426999813112e+00,-4.295678545941738591e+00,2.219518366742189386e+00,0.000000000000000000e+00
1.940000000000001446e-01,1.632906830423490607e-01,-3.603281669214081773e-01,2.106489777168629285e+00,-4.364308221992198256e+00,2.266167145857822973e+00,0.000000000000000000e+00
1.960000000000001463e-01,1.675435392220493425e-01,-3.691261599379070391e-01,2.146207468330900259e+00,-4.433177289748028826e+00,2.313603494821145468e+00,0.000000000000000000e+00
1.980000000000001481e-01,1.718762994154940105e-01,-3.780621076742163855e-01,2.186390536799670770e+00,-4.502251489076819269e+00,2.361825085342760033e+00,0.000000000000000000e+00
2.000000000000001499e-01,1.762898919792191821e-01,-3.871363843095535495e-01,2.227036595309181077e+00,-4.571494676230885013e+00,2.410827858436991544e+00,0.000000000000000000e+00
2.020000000000001517e-01,1.807852400460572828e-01,-3.963492897886811139e-01,2.268142814652830630e+00,-4.640868778087021695e+00,2.460605878135250002e+00,0.000000000000000000e+00
2.040000000000001534e-01,1.853632606222269663e-01,-4.057010459184070550e-01,2.309705905113558888e+00,-4.710333748686623245e+00,2.511151179849245185e+00,0.000000000000000000e+00
2.060000000000001552e-01,1.900248636471265629e-01,-4.151917923798396637e-01,2.351722097733606631e+00,-4.779847528449972849e+00,2.562453613870625091e+00,0.000000000000000000e+00
2.080000000000001570e-01,1.947709510155656021e-01,-4.248215826621498103e-01,2.394187125475996325e+00,-4.849366006459928435e+00,2.614500684603748848e+00,0.000000000000000000e+00
2.100000000000001588e-01,1.996024155622799501e-01,-4.345903799244054677e-01,2.437096204335716720e+00,-4.918842986231154235e+00,2.667277386247427273e+00,0.000000000000000000e+00
2.120000000000001605e-01,2.045201400086978649e-01,-4.444980527928957814e-01,2.480444014464504132e+00,-4.988230155401205401e+00,2.720766035768968027e+00,0.000000000000000000e+00
2.140000000000001623e-01,2.095249958720588057e-01,-4.545443711022557620e-01,2.524224681379258595e+00,-5.057477059798881847e+00,2.774946104149342396e+00,0.000000000000000000e+00
2.160000000000001641e-01,2.146178423371333244e-01,-4.647290015896302084e-01,2.568431757330492449e+00,-5.126531082363021241e+00,2.829794047020976144e+00,0.000000000000000000e+00
2.180000000000001659e-01,2.197995250909521581e-01,-4.750515035520797569e-01,2.613058202913738359e+00,-5.195337427400921193e+00,2.885283135968610413e+00,0.000000000000000000e+00
2.200000000000001676e-01,2.250708751211251135e-01,-4.855113244784235449e-01,2.658096369013525528e+00,-5.263839110689502832e+00,2.941383291917385012e+00,0.000000000000000000e+00
2.220000000000001694e-01,2.304327074785165186e-01,-4.961077956677318879e-01,2.703537979176285244e+00,-5.331976955933766860e+00,2.998060922189489386e+00,0.000000000000000000e+00
2.240000000000001712e-01,2.358842898530234267e-01,-5.068367309303540846e-01,2.747846990860803640e+00,-5.396303187004231283e+00,3.000000000000000000e+00,0.000000000000000000e+00
2.260000000000001730e-01,2.414233077341620126e-01,-5.176903901516163309e-01,2.790974560036224794e+00,-5.456702403987836902e+00,3.000000000000000000e+00,0.000000000000000000e+00
2.280000000000001747e-01,2.470474054033190980e-01,-5.286609304722393876e-01,2.832928209571621725e+00,-5.513186880984397575e+00,3.000000000000000000e+00,0.000000000000000000e+00
2.300000000000001765e-01,2.527542442980711401e-01,-5.397405401348542853e-01,2.873717558078837442e+00,-5.565775405382568763e+00,3.000000000000000000e+00,0.000000000000000000e+00
2.320000000000001783e-01,2.585415071116627939e-01,-5.509214512566860122e-01,2.913354226084637233e+00,-5.614493018452701989e+00,3.000000000000000000e+00,0.000000000000000000e+00
2.340000000000001801e-01,2.644069016943151329e-01,-5.621959520515745767e-01,2.951851731897549236e+00,-5.659370724719432033e+00,3.000000000000000000e+00,0.000000000000000000e+00
2.360000000000001819e-01,2.703481647370384877e-01,-5.735563984427483053e-01,2.989225378468518102e+00,-5.700445174009512783e+00,3.000000000000000000e+00,0.000000000000000000e+00
2.380000000000001836e-01,2.763630652212936689e-01,-5.849952250157712808e-01,3.025492132610024143e+00,-5.737758320273528945e+00,3.000000000000000000e+00,0.000000000000000000e+00
2.400000000000001854e-01,2.824494076206170989e-01,-5.965049552694174917e-01,3.060670497975879645e+00,-5.771357061398149746e+00,3.000000000000000000e+00,0.000000000000000000e+00
